label_index	winner_index	loser_index	evaluator_index
1038	71	22	188
1039	71	22	44
1040	71	22	90
1041	71	22	209
1042	71	22	216
1043	71	22	113
1044	71	22	85
1045	71	22	201
1046	71	22	201
1047	33	22	211
1048	33	22	88
1049	33	22	102
1050	33	22	131
1051	33	22	167
1052	33	22	109
1053	33	22	103
1054	3	22	165
1055	3	22	160
1056	3	22	160
1057	3	22	121
1058	3	22	131
1059	3	22	45
1060	3	22	152
1061	3	22	60
1062	3	22	73
1063	3	22	188
1064	3	22	216
1065	3	22	181
1066	3	22	84
1067	3	22	84
1068	3	22	84
1069	3	22	115
1070	67	22	177
1071	67	22	138
1072	67	22	188
1073	67	22	202
1074	67	22	39
1075	67	22	216
1076	67	22	26
1077	67	22	84
1078	67	22	62
1079	67	22	201
1080	67	22	15
1081	67	22	15
1082	67	22	15
1083	32	22	160
1084	32	22	121
1085	32	22	211
1086	32	22	211
1087	32	22	200
1088	32	22	147
1089	32	22	44
1090	32	22	108
1091	32	22	181
1092	32	22	167
1093	32	22	38
1094	32	22	80
1095	34	22	145
1096	34	22	50
1097	34	22	216
1098	34	22	84
1099	34	22	84
1100	34	22	16
1101	34	22	109
1102	34	22	109
1103	34	22	185
1104	34	22	89
1105	34	22	136
1106	34	22	155
1107	34	22	41
1108	34	22	215
1109	9	22	132
1110	9	22	210
1111	9	22	210
1112	9	22	184
1113	9	22	89
1114	12	22	160
1115	12	22	200
1116	12	22	66
1117	12	22	50
1118	12	22	73
1119	12	22	181
1120	12	22	84
1121	12	22	16
1122	12	22	168
1123	12	22	85
1124	12	22	103
1125	12	22	157
1126	12	22	157
1127	12	22	110
1128	8	22	152
1129	8	22	210
1130	8	22	55
1131	8	22	66
1132	8	22	60
1133	8	22	104
1134	8	22	124
1135	8	22	90
1136	8	22	33
1137	8	22	157
1138	8	22	70
1139	43	22	121
1140	43	22	204
1141	43	22	200
1142	43	22	210
1143	43	22	210
1144	43	22	39
1145	43	22	113
1146	43	22	89
1147	43	22	61
1148	25	22	204
1149	25	22	2
1150	25	22	200
1151	25	22	163
1152	25	22	73
1153	25	22	23
1154	25	22	130
1155	25	22	189
1156	25	22	209
1157	25	22	37
1158	25	22	47
1159	25	22	16
1160	25	22	168
1161	27	22	200
1162	27	22	44
1163	27	22	155
1164	7	22	138
1165	7	22	44
1166	7	22	23
1167	7	22	74
1168	7	22	74
1169	55	22	200
1170	55	22	91
1171	55	22	117
1172	55	22	39
1173	55	22	39
1174	55	22	74
1175	55	22	72
1176	55	22	181
1177	55	22	113
1178	55	22	84
1179	55	22	155
1180	55	22	103
1181	55	22	179
1182	55	22	157
1183	55	22	201
1184	36	22	177
1185	36	22	132
1186	36	22	60
1187	36	22	188
1188	36	22	39
1189	36	22	209
1190	36	22	108
1191	36	22	116
1192	36	22	103
1193	36	22	157
1194	36	22	194
1195	36	22	166
1196	36	22	201
1197	36	22	70
1198	74	22	102
1199	74	22	132
1200	74	22	51
1201	74	22	104
1202	74	22	104
1203	74	22	104
1204	74	22	117
1205	53	22	73
1206	53	22	46
1207	53	22	178
1208	53	22	84
1209	53	22	59
1210	53	22	43
1211	70	22	204
1212	70	22	204
1213	70	22	204
1214	70	22	133
1215	70	22	55
1216	70	22	50
1217	70	22	104
1218	70	22	44
1219	70	22	84
1220	70	22	75
1221	70	22	190
1222	59	22	177
1223	59	22	204
1224	59	22	2
1225	59	22	132
1226	59	22	210
1227	59	22	23
1228	59	22	181
1229	59	22	16
1230	59	22	155
1231	59	22	201
1232	59	22	15
1233	17	22	211
1234	17	22	102
1235	17	22	102
1236	17	22	152
1237	17	22	58
1238	17	22	58
1239	17	22	155
1240	17	22	157
1241	17	22	5
1242	17	22	9
1243	77	22	160
1244	77	22	211
1245	77	22	200
1246	77	22	210
1247	77	22	104
1248	77	22	104
1249	77	22	124
1250	77	22	11
1251	77	22	199
1252	77	22	15
1253	23	22	87
1254	23	22	200
1255	23	22	138
1256	23	22	39
1257	23	22	189
1258	23	22	108
1259	23	22	0
1260	23	22	35
1261	23	22	213
1262	18	22	177
1263	18	22	211
1264	18	22	60
1265	18	22	147
1266	18	22	147
1267	18	22	189
1268	18	22	37
1269	39	22	160
1270	39	22	160
1271	39	22	210
1272	39	22	210
1273	39	22	66
1274	39	22	50
1275	39	22	188
1276	39	22	186
1277	39	22	181
1278	39	22	38
1279	39	22	172
1280	66	22	160
1281	66	22	121
1282	66	22	204
1283	66	22	200
1284	66	22	138
1285	66	22	138
1286	66	22	66
1287	66	22	147
1288	66	22	97
1289	66	22	47
1290	66	22	10
1291	66	22	186
1292	66	22	38
1293	66	22	109
1294	66	22	89
1295	75	22	160
1296	75	22	169
1297	75	22	121
1298	75	22	211
1299	75	22	211
1300	75	22	131
1301	75	22	60
1302	75	22	60
1303	75	22	44
1304	75	22	44
1305	75	22	58
1306	75	22	189
1307	75	22	216
1308	75	22	89
1309	57	22	31
1310	57	22	211
1311	57	22	73
1312	57	22	44
1313	57	22	209
1314	57	22	108
1315	57	22	59
1316	57	22	24
1317	57	22	71
1318	56	22	160
1319	56	22	131
1320	56	22	60
1321	56	22	104
1322	56	22	117
1323	56	22	74
1324	56	22	209
1325	56	22	198
1326	56	22	139
1327	56	22	216
1328	56	22	216
1329	56	22	216
1330	56	22	201
1331	56	22	201
1332	76	22	204
1333	76	22	23
1334	76	22	151
1335	21	52	165
1336	21	52	160
1337	21	52	160
1338	21	52	169
1339	21	52	31
1340	21	52	23
1341	21	52	90
1342	21	52	69
1343	21	52	103
1344	21	52	64
1345	0	52	31
1346	0	52	145
1347	0	52	104
1348	0	52	44
1349	0	52	44
1350	0	52	113
1351	0	52	103
1352	13	52	102
1353	13	52	210
1354	13	52	210
1355	13	52	146
1356	13	52	146
1357	42	52	160
1358	42	52	2
1359	42	52	200
1360	42	52	131
1361	42	52	145
1362	42	52	210
1363	42	52	55
1364	42	52	65
1365	42	52	139
1366	42	52	113
1367	50	52	169
1368	50	52	102
1369	50	52	200
1370	50	52	132
1371	50	52	145
1372	50	52	50
1373	50	52	73
1374	50	52	44
1375	50	52	108
1376	50	52	26
1377	50	52	206
1378	50	52	168
1379	50	52	146
1380	50	52	103
1381	29	52	210
1382	29	52	124
1383	29	52	124
1384	29	52	158
1385	38	52	121
1386	38	52	121
1387	38	52	40
1388	35	52	44
1389	35	52	23
1390	35	52	139
1391	35	52	139
1392	35	52	69
1393	48	52	121
1394	48	52	121
1395	48	52	204
1396	48	52	2
1397	48	52	200
1398	48	52	200
1399	48	52	138
1400	48	52	138
1401	48	52	138
1402	48	52	156
1403	48	52	124
1404	48	52	114
1405	48	52	26
1406	48	52	69
1407	48	52	89
1408	58	52	114
1409	58	52	109
1410	58	52	157
1411	58	52	157
1412	58	52	48
1413	62	52	160
